City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
94,chiautla,19.5333,-98.8833,16.04,78,26,1.14,MX,1663163405
95,nokaneng,-19.6667,22.2667,32.84,12,0,5.41,BW,1663163407
96,kutoarjo,-7.7169,109.9128,24.47,89,25,2.09,ID,1663163409
97,constitucion,-35.3333,-72.4167,13.9,67,21,1.45,CL,1663163411
98,talara,-4.5772,-81.2719,17.42,82,40,9.77,PE,1663163411
99,shalakusha,62.2247,40.2539,14.54,56,57,3.75,RU,1663163420
100,ouesso,1.6136,16.0517,31.32,49,100,0.67,CG,1663163422
101,ilulissat,69.2167,-51.1,4.33,91,100,1.91,GL,1663163428
102,vestmannaeyjar,63.4427,-20.2734,10.55,76,0,5.66,IS,1663163428
103,mandawar,29.5,78.1333,25.42,82,40,3.15,IN,1663163434
104,honningsvag,70.9821,25.9704,6.86,61,100,4.12,NO,1663163438
105,rawson,-43.3002,-65.1023,17.95,36,55,5.35,AR,1663163439
106,dikson,73.5069,80.5464,3.67,74,97,6.26,RU,1663163440
107,ganzhou,28.8184,115.4327,23.15,73,0,1.96,CN,1663163441
108,deep river,46.1001,-77.4995,16.86,91,100,3.6,CA,1663163449
110,guliston,40.4897,68.7842,23.69,18,0,4.11,UZ,1663163449
111,deputatskiy,69.3,139.9,1.61,73,100,1.38,RU,1663163450
112,te anau,-45.4167,167.7167,1.29,94,31,0.67,NZ,1663163450
113,balkhash,46.844,74.9804,15.24,29,0,6.52,KZ,1663163450
114,narsaq,60.9167,-46.05,11.14,49,100,0.47,GL,1663163451
115,lorengau,-2.0226,147.2712,27.68,77,8,4.32,PG,1663163451
116,tura,25.5198,90.2201,22.73,98,100,2.05,IN,1663163243
117,moron,-34.6534,-58.6198,18.22,59,0,0.55,AR,1663163452
118,tuatapere,-46.1333,167.6833,2.93,91,12,2.11,NZ,1663163452
119,opuwo,-18.0607,13.84,34.21,8,5,4.55,NA,1663163434
120,la primavera,5.4906,-70.4092,28.83,67,27,2.98,CO,1663163454
122,arroyo,41.6096,-4.7969,22.3,60,40,5.66,ES,1663163455
123,mount gambier,-37.8333,140.7667,11.74,95,100,5.02,AU,1663163456
125,linhares,-19.3911,-40.0722,32.21,33,0,3.32,BR,1663163457
126,ugoofaaru,5.6667,73,27.47,71,89,1.75,MV,1663163458
127,sao felix do xingu,-6.6447,-51.995,35.5,33,11,1.98,BR,1663163459
128,kalemie,-5.9475,29.1947,27.91,43,77,2.61,CD,1663163175
129,clyde river,70.4692,-68.5914,3.13,100,100,3.6,CA,1663163459
130,pisco,-13.7,-76.2167,16.12,77,100,4.63,PE,1663163460
131,chokurdakh,70.6333,147.9167,3.12,69,99,3.34,RU,1663163460
132,basco,20.4487,121.9702,28.47,81,85,10.56,PH,1663163462
133,boa vista,2.8197,-60.6733,28.99,74,40,5.66,BR,1663163462
